Name
Davor Ivo STIER
Catherine STIHLER
Danií‚l van der STOEP
Theodor Dumitru STOLOJAN
Dimitar STOYANOV
Ivo STREJÛëEK
MichíÂle STRIFFLER
Robert STURDY
Líçszlí_ SURJíÅN
Alf SVENSSON
Kay SWINBURNE
Hannes SWOBODA
Csaníçd SZEGEDI
Konrad SZYMAÅ€SKI
Jí_zsef SZíÅJER
Antolí_n SíÅNCHEZ PRESEDO
Daciana Octavia Sí‰RBU
Csaba SíñGOR
SíŸren Bo SíÖNDERGAARD
Csaba Síçndor TABAJDI
Hannu TAKKULA
Charles TANNOCK
Marc TARABELLA
Indrek TARAND
Salvatore TATARELLA
Rui TAVARES
Keith TAYLOR
Rebecca TAYLOR
Nuno TEIXEIRA
Sampo TERHO
Alexandra THEIN
Eleni THEOCHAROUS
Michael THEURER
Isabelle THOMAS
Britta THOMSEN
Rí_Å_a Grí_fin von THUN UND HOHENSTEIN
Marianne THYSSEN
Patrice TIROLIEN
Patrizia TOIA
Valdemar TOMAÅæEVSKI
RuÅ_a TOMAÅæIÛÊ
Nils TORVALDS
Georgios TOUSSAS
EvÅ_en TOÅæENOVSKíù
Catherine TRAUTMANN
Gino TREMATERRA
Ramon TREMOSA i BALCELLS
Kyriacos TRIANTAPHYLLIDES
Helga TRíìPEL
Ioannis A. TSOUKALAS
Claude TURMES
Emilie TURUNEN
Niki TZAVELA
Claudiu Ciprian TÛ‰NÛ‰SESCU
Líçszlí_ TÅêKí_S
Giommaria UGGIAS
Thomas ULMER
Marita ULVSKOG
Traian UNGUREANU
Vladimir URUTCHEV
Corneliu VADIM TUDOR
Inese VAIDERE
Ivo VAJGL
Oleg VALJALO
Kathleen VAN BREMPT
Geoffrey VAN ORDEN
Frank VANHECKE
Gianni VATTIMO
Derek VAUGHAN
Sophia in 't VELD
Marie-Christine VERGIAT
Bernadette VERGNAUD
Sabine VERHEYEN
Guy VERHOFSTADT
Alejo VIDAL-QUADRAS
Philippe de VILLIERS
Justina VITKAUSKAITE BERNARD
Dominique VLASTO
OldÅ»ich VLASíÅK
Axel VOSS
Nikola VULJANIÛÊ
Adina-Ioana VÛ‰LEAN
Sir Graham WATSON
JarosÅ‰aw Leszek WAÅÅÛÖSA
Henri WEBER
Manfred WEBER
Renate WEBER
Josef WEIDENHOLZER
Barbara WEILER
Angelika WERTHMANN
íƒsa WESTLUND
Kerstin WESTPHAL
Rainer WIELAND
Cecilia WIKSTRí_M
Glenis WILLMOTT
Sabine WILS
Hermann WINKLER
Iuliu WINKLER
Janusz WOJCIECHOWSKI
Corien WORTMANN-KOOL
Jacek WÅÅOSOWICZ
Marina YANNAKOUDAKIS
Luis YíÅíïEZ-BARNUEVO GARCíçA
Jan ZAHRADIL
Boris ZALA
Pablo ZALBA BIDEGAIN
Zbigniew ZALESKI
PaweÅ‰ ZALEWSKI
Dan Dumitru ZAMFIRESCU
Iva ZANICCHI
Andrea ZANONI
Artur ZASADA
Joachim ZELLER
Janusz WÅ‰adysÅ‰aw ZEMKE
Auke ZIJLSTRA
Gabriele ZIMMER
Zbigniew ZIOBRO
IníÈs Cristina ZUBER
Milan ZVER
Tadeusz ZWIEFKA
Anna ZíÅBORSKíÅ
Karim Zí_RIBI
Roberts ZÛÈLE
Andrea ÛëEÅæKOVíÅ
ElÅ_bieta Katarzyna ÅÅUKACIJEWSKA
Csaba ÅêRY
KÛÅrlis ÅæADURSKIS
Dubravka ÅæUICA
Peter ÅæÅ_ASTNíù
Silvia-Adriana Å¢ICÛ‰U
Tatjana Å_DANOKA
Member State
Giovanni BARBAGALLO
Rina Ronja KARI
Annette KOEWIUS
Christine REVAULT D'ALLONNES BONNEFOY
Katrin SAKS
Damien ABAD
Gabriele ALBERTINI
George BECALI
Lothar BISKY
Franziska Katharina BRANTNER
Frieda BREPOELS
Simon BUSUTTIL
Cristian Silviu BUÅ_OI
Rosario CROCETTA
Louis GRECH
Estelle GRELIER
Carl HAGLUND
JiÅ»í_ HAVEL
Iliana IVANOVA
Dan JíÖRGENSEN
Ioannis KASOULIDES
Lena KOLARSKA-BOBIÅ€SKA
Barry MADLENER
Mario MAURO
Kyriakos MAVRONIKOLAS
Ana MIRANDA
Ramona Nicole MÛ‰NESCU
Vladimí_r REMEK
Edward SCICLUNA
Debora SERRACCHIANI
Emil STOYANOV
Gianluca SUSTA
RafaÅ‰ TRZASKOWSKI
Viktor USPASKICH
Kristian VIGENIN
Anja WEISGERBER
Kader ARIF
Pascal CANFIN
Stí©phane LE FOLL
Vincent PEILLON
Bairbre de BRí_N
Rovana PLUMB
Miguel PORTAS
Jíçnos íÅDER
Kurt LECHNER
Ville ITí‹Lí‹
Elizabeth LYNNE
Proinsias DE ROSSA
Michail TREMOPOULOS
Diana WALLIS
Ilda FIGUEIREDO
Josí© Manuel GARCíçA-MARGALLO Y MARFIL
Elie HOARAU
Oriol JUNQUERAS VIES
íçí±igo Mí_NDEZ DE VIGO
Lena EK
Luigi de MAGISTRIS
Dirk STERCKX
Eva-Britt SVENSSON
Dominique BAUDIS
Heidi HAUTALA
Stavros LAMBRINIDIS
Giovanni COLLINO
Timo SOINI
Hella RANNER
Catherine SOULLIE
Ernst STRASSER
Zoran THALER
Joe HIGGINS
Alan KELLY
Christophe Bí_CHU
Pascale GRUNY
Ramí_n JíÅUREGUI ATONDO
Magdalena ALVAREZ
EnikÅï GYÅêRI
Louis BONTES
Jeanine HENNIS-PLASSCHAERT
Zoltíçn BALCZíñ
Caroline LUCAS
Píçl SCHMITT
Michel BARNIER
Janusz LEWANDOWSKI
Athanasios PAFILIS
Athanasios PLEVRIS
Giorgos PAPAKONSTANTINOU
Fran’_ois ALFONSI
Lu’_s Paulo ALVES
Laima Liucija ANDRIKIENó_
Josefa ANDR’_S BAREA
Pablo ARIAS ECHEVERR’çA
In’©s AYALA SENDER
Zolt’çn BAG’–
Zigmantas BALó‘YTIS
Pervenche BER’_S
Vilija BLINKEVIó‘IÅéTó_
Jos’© BOV’_
Zuzana BRZOBOHAT’Å
Zdravka BUÅ_Ióæ
Erik B’ÅNKI
Sandrine B’_LIER
Reimer B’_GE
Reinhard B’“TIKOFER
Elena BóäSESCU
Jan BÅ…EZINA
Maria Da Gra’_a CARVALHO
Fran’_oise CASTEX
Mar’_a Auxiliadora CORREA ZAMORA
Ant’_nio Fernando CORREIA DE CAMPOS
Ricardo CORT’_S LASTRA
J’_rgen CREUTZMANN
Tadeusz CYMAÅÛSKI
Fr’©d’©ric DAERDEN
M’çrio DAVID
V’©ronique DE KEYSER
Tam’çs DEUTSCH
Robert DUÅ_EK
Agust’_n D’çAZ DE MERA GARC’çA CONSUEGRA
Vasilica Viorica DóäNCILóä
Sa’Àd EL KHADRAOUI
Christian ENGSTR’_M
Rosa ESTAR’—S FERRAGUT
Jos’© Manuel FERNANDES
Jo’£o FERREIRA
Vó_ra FLASAROV’Å
H’©l’åne FLAUTRE
Monika FLAÅ_’çKOV’Å BEÅöOV’Å
Carmen FRAGA EST’_VEZ
G’_ran F’ÜRM
Vicente Miguel GARC’_S RAM’–N
Iratxe GARC’çA P’_REZ
Dolores GARC’çA-HIERRO CARABALLO
Eider GARDIAZ’ÅBAL RUBIAL
Jean-Paul GAUZ’_S
B’©la GLATTFELDER
Fran’_oise GROSSET’_TE
Ingeborg GR’ÜSSLE
Catherine GR’_ZE
Marek J’_zef GR’–BARCZYK
Sergio GUTI’_RREZ PRIETO
Cristina GUTI’_RREZ-CORTINES
Andr’çs GY’“RK
Kinga G’ÅL
Ildik’_ G’ÅLL-PELCZ
Kinga G’_NCZ
MaÅägorzata HANDZLIK
’Ågnes HANKISS
Esther HERRANZ GARC’çA
Gerald H’ÜFNER
Thomas H’ÜNDEL
Martin H’ÜUSLING
Jacky H’_NIN
Gunnar H’_KMARK
Danuta Maria H’“BNER
I’±aki IRAZABALBEITIA FERN’ÅNDEZ
Mar’_a IRIGOYEN P’_REZ
Carlos Jos’© ITURGAIZ ANGULO
CóÛtóÛlin Sorin IVAN
Teresa JIM’_NEZ-BECERRIL BARRIO
L’_via J’ÅR’–KA
Anneli J’Ü’ÜTTEENM’ÜKI
Sidonia ElÅ_bieta Jó…DRZEJEWSKA
JarosÅäaw KALINOWSKI
MichaÅä Tomasz KAMIÅÛSKI
KriÅçjóÅnis KARIÅÄÅ_
Se’çn KELLY
Mojca KLEVA KEKUÅ_
J’_rgen KLUTE
Jarom’_r KOHL’çó‘EK
B’©la KOV’ÅCS
PaweÅä Robert KOWAL
Sergej KOZL’çK
Edvard KOÅ_UÅ_N’çK
Wolfgang KREISSL-D’_RFLER
’Åd’çm K’–SA
Elisabeth K’_STINGER
Agn’ås LE BRUN
J’_rg LEICHTFRIED
BogusÅäaw LIBERADZKI
Ver’_nica LOPE FONTAGN’_
Juan Fernando L’–PEZ AGUILAR
Antonio L’–PEZ-IST’_RIZ WHITE
Sabine L’_SING
Isabella L’_VIN
Morten L’…KKEGAARD
Ivana MALETIóæ
Miguel Angel MART’çNEZ MART’çNEZ
V’©ronique MATHIEU HOUILLON
Zofija MAZEJ KUKOVIó‘
Vladim’_r MAÅöKA
JiÅÈ’_ MAÅ_T’ÅLKA
Emilio MEN’_NDEZ del VALLE
Miroslav MIKOL’ÅÅ_IK
Francisco Jos’© MILL’ÅN MON
Radvilóã MORKÅéNAITó_-MIKULó_NIENó_
Mar’_a MU’•IZ DE URQUIZA
Vojtó_ch MYN’ÅÅ…
Jean-Luc M’_LENCHON
Alajos M’_SZ’ÅROS
Andreas M’_LZER
Juan Andr’©s NARANJO ESCOBAR
Katar’_na NEVEó_ALOV’Å
RareÅ™-Lucian NICULESCU
SÅäawomir NITRAS
Wojciech MichaÅä OLEJNICZAK
Miroslav OUZK’ù
Maria do C’©u PATR’ÛO NEVES
Jaroslav PAÅ_KA
Andr’©s PERELL’– RODR’çGUEZ
Sandra PETROVIóæ JAKOVINA
Sirpa PIETIK’ÜINEN
MirosÅäaw PIOTROWSKI
Andrej PLENKOVIóæ
Tomasz Piotr PORó…BA
Hans-Gert P’_TTERING
Fr’©d’©rique RIES
Niccol’_ RINALDI
Mich’åle RIVASI
Zuzana ROITHOV’Å
Carmen ROMERO L’–PEZ
Ra’_l ROMEVA i RUEDA
Libor ROUó‘EK
Paul R’“BIG
Heide R’“HLE
Jos’© Ignacio SALAFRANCA S’ÅNCHEZ-NEYRA
Marie-Th’©r’åse SANCHEZ-SCHMID
Tokia SA’èFI
Gy’_rgy SCH’_PFLIN
Giancarlo SCOTT’—
Salvador SED’– i ALABART
Olga SEHNALOV’Å
CzesÅäaw Adam SIEKIERSKI
Monika SMOLKOV’Å
BogusÅäaw SONIK
Dani’âl van der STOEP
Ivo STREJó‘EK
Mich’åle STRIFFLER
L’çszl’_ SURJ’ÅN
Csan’çd SZEGEDI
Konrad SZYMAÅÛSKI
J’_zsef SZ’ÅJER
Antol’_n S’ÅNCHEZ PRESEDO
Daciana Octavia S’äRBU
Csaba S’–GOR
Csaba S’çndor TABAJDI
R’_Å_a Gr’_fin von THUN UND HOHENSTEIN
Valdemar TOMAÅ_EVSKI
RuÅ_a TOMAÅ_Ióæ
EvÅ_en TOÅ_ENOVSK’ù
Helga TR’“PEL
Claudiu Ciprian TóäNóäSESCU
L’çszl’_ TÅêK’_S
OldÅÈich VLAS’ÅK
Nikola VULJANIóæ
Adina-Ioana VóäLEAN
JarosÅäaw Leszek WAÅÅó…SA
’Äsa WESTLUND
Cecilia WIKSTR’_M
Luis Y’Å’•EZ-BARNUEVO GARC’çA
PaweÅä ZALEWSKI
Janusz WÅäadysÅäaw ZEMKE
In’és Cristina ZUBER
Anna Z’ÅBORSK’Å
Karim Z’_RIBI
Roberts ZóéLE
Andrea ó‘EÅ_KOV’Å
KóÅrlis Å_ADURSKIS
Dubravka Å_UICA
Peter Å_Å_ASTN’ù
Silvia-Adriana Å¢ICóäU
Harlem D’_SIR
Dan J’…RGENSEN
Vladim’_r REMEK
